TRANSACTIONS
362755,testest,DEPOSIT,11000.00,2025-05-04T14:29:41.351314800
362755,testest,WITHDRAW,11000.00,2025-05-04T14:30:10.954205700
362755,testest,TRANSFER_OUT,15000.00,2025-05-04T14:31:14.102391700,915603
915603,Jade,TRANSFER_IN,15000.00,2025-05-04T14:31:14.102391700,362755
362755,testest,WITHDRAW,5000.00,2025-05-04T14:41:34.511043500
362755,testest,WITHDRAW,260000.00,2025-05-04T15:13:05.827331800
362755,testest,WITHDRAW,500.00,2025-05-04T15:14:12.531319100
362755,testest,WITHDRAW,500.00,2025-05-04T15:14:25.673691300
362755,testest,WITHDRAW,500.00,2025-05-04T15:14:32.682691400
362755,testest,DEPOSIT,250000.00,2025-05-04T15:19:05.685326800
362755,testest,WITHDRAW,275000.00,2025-05-04T15:20:57.611449200
362755,testest,WITHDRAW,500.00,2025-05-04T15:21:01.848930300
362755,testest,WITHDRAW,500.00,2025-05-04T15:21:42.197418800
362755,testest,DEPOSIT,500.00,2025-05-04T15:22:36.006460900
362755,testest,WITHDRAW,500.00,2025-05-04T15:23:07.718972300
362755,testest,WITHDRAW,500.00,2025-05-04T15:23:13.228969
362755,testest,WITHDRAW,500.00,2025-05-04T15:23:25.351816400
362755,testest,DEPOSIT,500.00,2025-05-04T15:25:24.974490
362755,testest,WITHDRAW,500.00,2025-05-04T15:25:34.642746200
362755,testest,WITHDRAW,500.00,2025-05-04T15:25:39.734491800
362755,testest,DEPOSIT,500.00,2025-05-04T15:28:07.255518
362755,testest,WITHDRAW,500.00,2025-05-04T15:28:17.647513700
